"Control code","Control name","Control description","Control question","Control activities","Control owners","Control approvers","Required approvals stage","Is ready","Scope","NIST SP 800-53"
"DCF-65","Maintains a Privacy Policy","Montage Marketing Group maintains a Privacy Policy that is available to all external users and internal employees, and it details the company's confidentiality and privacy commitments.","Does the organization maintain a publicly available privacy policy detailing the organization's commitments to confidentiality and privacy?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","SC-07-24, PT-01-00, PT-03-00, PT-05-00, SA-08-33"
"DCF-575","Maintenance Management Policy","Montage Marketing Group has a defined maintenance management policy to ensure that IT resources are maintained in compliance with security policies, standards, and procedures.","Does the organization have a maintenance management policy?","1. Develop and document a maintenance management policy.
2. Identify roles and responsibilities related to maintenance procedures.
3. Disseminate maintenance management policy.
4. Review and update maintenance management policy periodically.","Jon Brown",,"No approvals assigned","Not ready","In scope","MA-01-00, MA-03-00, MA-03-02, MA-04-00"
"DCF-617","Maintenance Personnel Authorization","Montage Marketing Group has established procedures for maintenance personnel authorization.","Does the organization have procedures for maintenance personnel authorization?","1. Establish procedures for maintenance personnel authorization.
2. Maintain a list of authorized maintenance organizations or personnel.
3. Require access authorization for non-escorted personnel performing maintenance on the system .
4. Allow organizational personnel with required access authorizations and technical competence to supervise the maintenance activities of personnel who do not possess the required access authorizations.","Jon Brown",,"No approvals assigned","Not ready","In scope","MA-05-00"
"DCF-50","Malware Detection Software Installed","Antimalware software is installed on all company-managed devices.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","CM-08-03, SI-08-00, SI-08-02"
"DCF-615","Managed Use of Maintenance Tools","Montage Marketing Group requires that the use of maintenance tools be approved, controlled, and monitored.","Does the organization review, control, and monitor current and previously approved maintenance tools?","1. Approve, control, and monitor the use of system maintenance tools.
2. Review previously-approved system maintenance tools at defined intervals.","Jon Brown",,"No approvals assigned","Not ready","In scope","MA-02-00, MA-03-00, MA-03-01, MA-03-03"
"DCF-608","Management of At-risk Passwords","Montage Marketing Group maintains a list of commonly used, expected, or compromised passwords.","Does the organization maintain a list of commonly used, expected, or compromised passwords?","1. Maintain a list of commonly used, expected, or compromised passwords.
2. Update the list at a defined interval.","Jon Brown",,"No approvals assigned","Ready","In scope","IA-05-01"
"DCF-601","Management of Cryptographic Mechanisms","Montage Marketing Group has established processes and procedures to manage cryptographic mechanisms that provide defined controls.","Are the organization's cryptographic mechanisms under configuration management?","1. Define the cryptographic mechanisms that are managed.
2. Define the controls provided by cryptographic mechanisms.",,,"No approvals assigned","Not ready","Out of scope",
"DCF-591","Management of Publicly Accessible Content","Montage Marketing Group has an established procedure for managing publicly accessible content, which includes proper content review, and properly-trained personnel to make information publicly accessible.","Does the organization have a proper procedure for managing publicly accessible information and content?","1. Define frequency of review of content available for public release
2. Remove non-public information from publicly accessible systems.
3. Review content of information for public release prior to its release.
4. Identify and train personnel on procedures for public release of publicly accessible content.","Jon Brown",,"No approvals assigned","Not ready","In scope","AC-22-00"
"DCF-528","Management of Sensitive Information","Montage Marketing Group maintains policies and procedures to properly identify, label and store sensitive information (e.g., PII, PHI, Cardholder Data, etc.), and to manage and document the use, transfer, storage, and disposal of physical media containing sensitive information. Personnel are trained and made aware of how to handle sensitive information and report related incidents.","Does the organization maintain policies and procedures to properly identify, label and store sensitive information (e.g., PII, PHI, Cardholder Data, etc.), and to manage and document the use, transfer, storage, and disposal of physical media containing sensitive information? Are personnel trained and made aware of how to handle sensitive information and report related incidents?","1. Ensure policies and procedures cover how to properly identify, mark, label, and store sensitive information; each type of sensitive data should be treated independently (e.g., PHI and cardholder data cannot be stored together on the account that they are both sensitive information)
2. Establish procedures for the handling of media and storage devices where sensitive information will be kept; log related activities
3. Train personnel in policies and procedures for managing and handling sensitive information, and reporting related incidents","Jon Brown",,"No approvals assigned","Not ready","In scope","PM-22-00"
"DCF-565","Managing Test Information","Montage Marketing Group has an established process for managing test information.","Does the organization have a process to manage test information?","1. Monitor test environments to ensure that (a) operational environment level access control procedures are in place, (b) test information is only used for testing purposes, and (c) operational information copies are properly logged
2. Require an authorization for each time operational information is copied to a test environment
3. Ensure that operational information is properly deleted from test environments immediately after testing is complete","Jon Brown",,"No approvals assigned","Not ready","In scope","PM-25-00"
"DCF-631","Matching Program","Montage Marketing Group engages in a matching program.","Does the organization engage in a matching program?","1. Obtain approval to conduct the matching program from the Data Integrity Board.
2. Develop and enter into a computer matching agreement.
3. Publish a matching notice in the Federal Register.
4. Independently verify the information produced by the matching program before taking adverse action against an individual.
5. Provide notice to individuals when information is processed for the purpose of conducting a matching program, allowing them an opportunity to contest findings before adverse actions are taken.","Jon Brown",,"No approvals assigned","Not ready","In scope","PT-08-00"
"DCF-652","Mechanisms for Code Authentication","Montage Marketing Group has cryptographic mechanisms in place to authenticate software and firmware components prior to installation.","Does the organization have code authentication mechanisms in place?","1. Define software or firmware components to be authenticated by cryptographic mechanisms prior to installation.
2. Implement cryptographic mechanisms to authenticate software or firmware components prior to installation.",,,"No approvals assigned","Not ready","Out of scope",
"DCF-384","Media Classification","All media with sensitive data is classified in accordance with the nature of the data and the company's data classification policy.",,,"Jon Brown",,"No approvals assigned","Ready","In scope","MP-03-00, PM-05-01"
"DCF-390","Media Destruction  ","Electronic media is destroyed or sensitive data is rendered unrecoverable so that it cannot be reconstructed when no longer needed for business or legal reasons.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","MP-06-00"
"DCF-391","Media Destruction Policies and Procedures","Montage Marketing Group has policies and procedures for the destruction of electronic media when no longer needed for business or legal reasons.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","MP-06-00"
"DCF-388","Media Inventory Logs","Montage Marketing Group maintains documented inventory all electronic media with sensitive data. A verification of the inventory is conducted at least once every 12 months in accordance with company procedures.",,,,,"No approvals assigned","Not ready","Out of scope",
"DCF-381","Media Physically Secured or Encrypted","All media with sensitive data is encrypted and/or physically secured to prevent unauthorized persons from gaining access to the data.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","MP-02-00, MP-04-00"
"DCF-619","Media Sanitization","Montage Marketing Group review, approve, track, document, and verify media sanitization and disposal actions.","Does the organization review, approve, track, document, and verify media sanitization and disposal actions?","Review, Approve, Track, Document, and Verify media sanitization and disposal actions.","Jon Brown",,"No approvals assigned","Not ready","In scope","SR-12-00"
"DCF-387","Media Storage and Accessibility","Montage Marketing Group maintains strict control over the storage and accessibility of media.","Is strict control maintained over the storage and accessibility of media?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","MP-04-00"
"DCF-383","Media Transfer Procedures ","Montage Marketing Group maintains strict control over the internal or external distribution of any kind of media.","Is strict control maintained over the internal or external distribution of any kind of media?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","MP-05-00"
"DCF-385","Media Transferred Securely","Media with sensitive data sent outside the company's facilities is logged, securely transmitted (e.g., via secure courier or other trackable method), and captured within offsite tracking logs to include details about media location.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","MP-05-00"
"DCF-82","Messaging Queues Monitored and Alarmed","Montage Marketing Group has implemented tools to monitor Montage Marketing Group's messaging queues and notify appropriate personnel of any events or incidents based on predetermined criteria. Incidents are escalated per policy.","Does the organization implement tools to monitor its messaging queues and notify appropriate personnel of incidents based on predetermined criteria?",,"Jon Brown",,"No approvals assigned","Ready","In scope","IR-07-00, SI-04-04, SI-04-05"
"DCF-158","MFA Available for External Users","Montage Marketing Group allows for external users to implement multi-factor authentication on their accounts in order to require two forms of authentication prior to authentication","Does the organization provide the ability for external users to enable 2 factor authentication or MFA?","1. Allow for MFA on user accounts","Jon Brown",,"No approvals assigned","Not ready","In scope","IA-07-00, IA-12-03"
"DCF-355","MFA for Remote Network Access","All remote access to the entity’s network (including that of users, administrators, and third parties or vendors) requires multi-factor authentication.",,,"Jon Brown",,"No approvals assigned","Ready","In scope","AC-17-00"
"DCF-117","Minimal Information Required","Montage Marketing Group's collection of personal information is limited to that necessary to meet the entity's objectives.","Does the organization limit the collection of personal information to only that which is necessary to meet the entity's objectives?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","SI-12-01, SI-12-02, PM-25-00, SA-08-33"
"DCF-644","Mobile Code Management","Montage Marketing Group manages the use of acceptable mobile code and mobile code technologies.","Does the organization have mobile code management procedures?","1. Define acceptable mobile code and mobile code technologies.
2. Define unacceptable mobile code and mobile code technologies.
3. Authorize, monitor, and control the use of mobile code within the system.","Jon Brown",,"No approvals assigned","Not ready","In scope","SC-18-00"
"DCF-625","Monitoring Physical Access","Montage Marketing Group has physical intrusion alarms and surveillance equipment in place to monitor physical access to the site where the system resides.","Does the organization control physical access to output devices?","1. Install intrusion alarms and surveillance equipment at the site where the system resides.
2. Monitor physical access to the site.","Jon Brown",,"No approvals assigned","Not ready","In scope","PE-06-01"
"DCF-176","Monitoring Plan","Montage Marketing Group has a defined process for evaluating information security performance and the effectiveness of its information security program.","Does the organization have a process for the evaluation of information security performance and the effectiveness of its information security program?","1. Determine and define what needs to be monitored and measured, through what methods, when, and by whom
2. Define when the monitoring and measurement results are analyzed and evaluated, and by whom","Jon Brown",,"No approvals assigned","Not ready","In scope","CP-04-00, CP-04-01, CA-07-00, CA-07-04"
"DCF-517","Monitoring Procedures for System Alerts","Montage Marketing Group's security incident response plan includes procedures for monitoring and responding to alerts from security monitoring systems including intrusion-detection and intrusion-prevention systems, network security controls, change-detection mechanisms for critical files, the change-and tamper-detection mechanism for payment pages, detection of unauthorized wireless access points, etc.",,,"Jon Brown",,"No approvals assigned","Ready","In scope","AC-06-01, CM-08-03"
"DCF-95","Monitoring Processing Capacity and Usage","Montage Marketing Group monitors its processing capacity and usage on a quarterly basis in order to appropriately manage capacity demand and to enable the implementation of additional capacity to meet availability commitments.","Does the organization monitor its processing capacity and usage quarterly to appropriately manage capacity demand and plan accordingly?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","AU-04-00"
"DCF-67","Multi-Factor Authentication","Authentication to systems requires the use of multi-factor authentication.",,,"Jon Brown",,"No approvals assigned","Ready","In scope","IA-02-01, IA-02-02, IA-02-08, IA-02-12, IA-04-00, IA-04-04, IA-05-00, IA-05-01, IA-05-02, IA-12-03"
"DCF-27","Multiple Availability Zones","Montage Marketing Group utilizes multiple availability zones to replicate production data across different zones.","Does the organization replicate data across different availability zones to ensure the availability in the case of an outage in one particular zone?",,"Jon Brown",,"No approvals assigned","Ready","In scope","IR-07-00"
"DCF-503","Multiple Methods for Security Awareness","Montage Marketing Group's security awareness program includes multiple methods of communicating awareness and educating personnel, such as newsletters, web-based training, in-person training, team meetings, phishing simulations, etc. Periodic security updates are provided to personnel through these multiple methods of communication.",,,"Jon Brown",,"No approvals assigned","Ready","In scope","AT-01-00, AT-02-00, AT-03-00, AT-03-05, AT-02-03"
"DCF-425","Need-to-Know Access to Time Data","Access to modify time synchronization configurations or system time is restricted to authorized system administrators or personnel with a business need.",,,,,"No approvals assigned","Not ready","Out of scope",
"DCF-326","Need-to-Know Principle","Montage Marketing Group limits access to system components and sensitive data to only those individuals whose job requires such access.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","AC-06-01, AC-06-02, AC-06-07, SC-02-00"
"DCF-22","Network Diagram","A documented network diagram is in place to document system boundaries and connections to external networks. The diagram is reviewed and approved by management at least annually and updated as necessary when there are changes to the environment.",,,"Jon Brown","Jon Brown","Approved","Not ready","In scope","AC-04-00, AC-18-00"
"DCF-208","Network Management Roles and Responsibilities","Montage Marketing Group defines groups, roles, and responsibilities for management of network components.","Are groups, roles, and responsibilities for logical management of network components assigned and documented in the firewall and router configuration standards?",,,,"No approvals assigned","Not ready","Out of scope",
"DCF-85","Network Security Controls","Network security controls are in place to limit inbound and outbound traffic to the environment to only what is necessary based on business justification. All other traffic is specifically denied.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","AC-04-00, SC-05-00, SC-07-00, CM-07-00, CM-07-01"
"DCF-206","Network Security Controls Between Trusted and Untrusted Networks","Montage Marketing Group has implemented network security controls between trusted and untrusted networks to prevent unauthorized traffic from traversing network boundaries.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","SC-07-00"
"DCF-201","Network Security Controls Configuration Standards","Montage Marketing Group has defined, documented and implemented configuration standards for network security controls, including configurations for firewalls, routers configured with access control lists, and cloud virtual networks. All services, protocols, and ports allowed are identified, documented, approved, and have a defined business need.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","CM-04-02"
"DCF-214","Network Traffic Denial","Montage Marketing Group ensures that all other inbound and outbound traffic is specifically denied (for example by using an explicit “deny all” or an implicit deny after allow statement)","Is all other inbound and outbound traffic specifically denied (for example by using an explicit “deny all” or an implicit deny after allow statement)?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","SC-05-00, CM-07-00"
"DCF-612","Non-organizational User Authentication","Montage Marketing Group uses automated tools to identify and authenticate non-organizational users.","Does the organization uniquely identify and authenticate non-organizational users or processes acting on behalf of non-organizational users?","Identify and authenticate non-organizational users prior to granting access.","Jon Brown",,"No approvals assigned","Not ready","In scope","IA-08-00"
"DCF-595","Non-repudiation Actions","Montage Marketing Group defines actions to be covered by non-repudiation and maintains records of the actions performed.","Does the organization define, and provide evidence of performance of, actions covered by non-repudiation?","1. Define actions covered by non-repudiation.
2. Provide irrefutable evidence of the actions performed.",,,"No approvals assigned","Not ready","Out of scope",
"DCF-83","NoSQL Database Monitored and Alarmed","Montage Marketing Group has implemented tools to monitor Montage Marketing Group's NoSQL databases and notify appropriate personnel of any events or incidents based on predetermined criteria. Incidents are escalated per policy.","Does the organization implement tools to monitor its NoSQL databases and notify appropriate personnel of incidents based on predetermined criteria?",,"Jon Brown",,"No approvals assigned","Ready","In scope","IR-07-00, SI-04-04, SI-04-05"
"DCF-135","Notice of Breach to Affected Users","Montage Marketing Group has a process for providing notice of breaches and incidents to affected data subjects to meet Montage Marketing Group's objectives related to privacy.","Does the organization have a process for providing notice of breaches to affected data subjects?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","IR-07-00, IR-08-00, CP-04-00, CP-04-01, IR-07-01"
"DCF-611","Obscured Authentication Feedback","Montage Marketing Group obscures the feedback of authentication information during the authentication process.","Is feedback of authentication information obscured during the authentication process?","Obscure feedback of authentication information during the authentication process.","Jon Brown",,"No approvals assigned","Not ready","In scope","IA-06-00"
"DCF-238","One Primary Function per Server","Montage Marketing Group has Implemented only one primary function per server to prevent functions that require different security levels from coexisting on the same server.","Is only one primary function implemented per server, to prevent functions that require different security levels from co-existing on the same server?
For example, web servers, database servers, and DNS should be implemented on separate servers.",,"Jon Brown",,"No approvals assigned","Not ready","In scope","SC-39-00"
"DCF-240","Only Necessary System Function Services Used","Montage Marketing Group uses only necessary services, protocols, daemons, and functions in system components, and all unnecessary functionality (e.g., scripts, drivers, features, subsystems, file systems, interfaces, unused web servers, etc.) is removed or disabled in accordance with documented configuration standards.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","AC-18-03"
"DCF-284","Only Trusted Keys or Certificates Accepted","Montage Marketing Group has implemented security protocols so that only trusted keys and/or certificates are accepted during transmission of sensitive data that are confirmed valid and not expired or revoked.",,,"Jon Brown",,"No approvals assigned","Ready","In scope","SC-17-00"
"DCF-370","Onsite Identification Management","Montage Marketing Group has procedures to easily distinguish between onsite personnel and visitors, to include: Identifying onsite personnel and visitors (for example, assigning badges); changes to access requirements; revoking or terminating onsite personnel and expired visitor identification (such as ID badges).","Are procedures developed to easily distinguish between onsite personnel and visitors, which include:
Identifying onsite personnel and visitors (for example, assigning badges), 
Changing access requirements, and 
Revoking terminated onsite personnel and expired visitor identification (such as ID badges)
For the purposes of Requirement 9, “onsite personnel” refers to full-time and part-time employees, temporary employees, contractors and consultants who are physically present on the entity’s premises. A “visitor” refers to a vendor, guest of any onsite personnel, service workers, or anyone who needs to enter the facility for a short duration, usually not more than one day.",,,,"No approvals assigned","Not ready","Out of scope",
"DCF-86","Operational Audit","Montage Marketing Group's cloud infrastructure is monitored through an operational audit system that sends alerts to appropriate personnel","Does the organization monitor its cloud infrastructure through an operational audit system that sends alerts to appropriate personnel?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","AU-01-00, AU-03-01, PM-06-00"
"DCF-172","Organizational Change Management","Montage Marketing Group has a defined change management process for the organization, business processes, and information processing facilities and systems that affect information security.","Does the organization control changes to processes, facilities and systems that affect information security?","1. Establish and maintain a change management system
2. Properly plan for and test changes
3. Analyze impact of changes
4. Communicate changes to appropriate members
5. Account and provision for emergency changes","Jon Brown",,"No approvals assigned","Not ready","In scope","AC-02-02, CM-04-00, CM-03-02, CM-03-04, CM-04-02, CM-05-00, CA-05-00"
"DCF-14","Organizational Chart Maintained","Montage Marketing Group reviews its organizational structure, reporting lines, authorities, and responsibilities in terms of information security on an annual basis.","Does the organization maintain an organizational chart dictating reporting lines and structure?","Annually review and update organizational structure with reporting lines, authorities, and responsibilities in terms of Information Security.","Jon Brown",,"No approvals assigned","Ready","In scope","AC-06-00, AC-06-01"
"DCF-68","Password and Authentication Configurations","Authentication requirements, such as single sign-on (SSO) authentication and/or strong password requirements, are enforced across all systems in accordance with company policy.",,,"Jon Brown",,"No approvals assigned","Ready","In scope","AC-02-00, IA-01-00, IA-02-01, IA-02-02, IA-02-08, IA-02-12, IA-03-00, IA-04-00, IA-04-04, IA-05-00, IA-05-01, IA-05-02, IA-07-00, IA-12-03"
"DCF-464","Penetration Testing Methodology","Montage Marketing Group has defined and documented a penetration testing methodology for the organization. The methodology includes industry-accepted penetration testing approaches, coverage for the entire CDE perimeter and critical systems, testing from both inside and outside the network, testing to validate any segmentation and scope reduction controls, application-layer penetration testing, network layer penetration tests, review and consideration of threats and vulnerabilities experienced in the last 12 months, documented approach to assessing and addressing the risk posed by exploitable vulnerabilities and security weaknesses found during penetration testing, and retention of penetration testing results and remediation activities results for at least 12 months.",,,,,"No approvals assigned","Not ready","Out of scope",
"DCF-11","Periodic Access Control Review","Management performs user access reviews periodically (as defined by policy and compliance requirements) to validate user accounts, including third party or vendor accounts, and their associated roles and permissions remain appropriate based on job function. The review includes validation of logical and physical access as necessary. Changes resulting from the review, if any, are documented and implemented.",,,"Jon Brown",,"No approvals assigned","Ready","In scope","AC-02-00, AC-03-00, AC-05-00, AC-06-00, AC-06-01, AC-06-07, IA-02-02, IA-02-08, IA-03-00, IA-04-00, IA-04-04, IA-05-00, IA-05-01, IA-05-02, PE-02-00, PE-03-00, PE-06-00, PS-02-00, PS-05-00"
"DCF-479","Periodic Critical File Comparisons","Montage Marketing Group file integrity monitoring or change-detection mechanism perform critical file comparisons at least once weekly.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","SI-07-07"
"DCF-185","Periodic Dynamic Threat Assessment","Montage Marketing Group has an established threat assessment process to continuously analyze threats and disseminate the information appropriately.","Does the organization continuously assess the threat environment?","1. Establish threat assessment and intelligence objectives relevant to the organization
2. Determine internal and external sources of information for collection and sharing of threat intelligence
3. Conduct threat assessments by: (a) identifying the organization's threat environment, (b) analyzing and documenting ongoing threats and their impact on risks
4. Adjust frequency of threat intelligence collection and assessments as  appropriate to the organization
5. Communicate results of threat assessment to appropriate members of the organization and relevant external organizations","Jon Brown",,"No approvals assigned","Not ready","In scope","SI-05-00, RA-05-02"
"DCF-292","Periodic Evaluation of Malware Threats","Montage Marketing Group maintains a documented list of all system components evaluated as not at risk for malware that are not subjected to anti-malware controls. Montage Marketing Group performs periodic evaluations to identify and assess evolving malware threats for those system components and to confirm whether such system components continue to not require anti-malware protection. Results of the periodic evaluation are documented.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","SI-03-00, SI-08-00, SI-08-02"
"DCF-312","Periodic Secure Code Development Training","Developers are required to complete secure code development training at least once every 12 months, including training on software security relevant to their job function and development languages, secure software design and secure coding techniques, and how to use tools for detecting vulnerabilities in software if these are used in the organization.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","AT-03-00, AT-02-02"
"DCF-36","Periodic Security Training","Montage Marketing Group has established training programs to help employees understand their obligations and responsibilities for information security and privacy. Personnel (including employees and third parties as applicable) are required to complete the training during onboarding and annually thereafter.",,,"Jon Brown",,"No approvals assigned","Ready","In scope","AT-01-00, AT-02-00, AT-03-00, AT-03-05, AT-04-00, IR-02-00, IR-02-03, AT-02-02, AT-02-03, PM-14-00"
"DCF-585","Permitted Actions Without Identification or Authentication","Montage Marketing Group defines specific user actions that are permitted without identification or authentication.","Have specific user actions that are permitted without identification been defined?","Define specific user actions, if any, that do not require identification or authentication, in the System Security Plan.","Jon Brown",,"No approvals assigned","Ready","In scope","AC-14-00"
"DCF-226","Personal Firewall Installed on Portable Devices","Montage Marketing Group has installed personal firewall software or equivalent functionality on any portable computing devices (including company and/or employee-owned) that connect to the Internet when outside the network (for example, laptops used by employees), and which are also used to access the CDE. Firewall (or equivalent) configurations include:
 
* Specific configuration settings are defined. 
* Personal firewall (or equivalent functionality) is actively running. 
* Personal firewall (or equivalent functionality) is not alterable by users of the portable computing devices.","Is personal firewall software (or equivalent functionality) installed and active on any portable computing devices (including company and/or employee-owned) that connect to the Internet when outside the network (for example, laptops used by employees), and which are also used to access the CDE?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","AC-20-02"
"DCF-227","Personal Firewall on Portable Devices Configured Properly","Montage Marketing Group has configured personal firewall software (or equivalent functionality) to specific configuration settings, actively running, and not alterable by users of mobile and/or employee-owned devices.","Is the personal firewall software (or equivalent functionality) configured to specific configuration settings, actively running, and not alterable by users of mobile and/or employee-owned devices?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","AC-19-00, AC-20-02"
"DCF-367","Physical Access Control Mechanism Data Retention","Data collected from video cameras and/or access control mechanisms is stored for at least three months unless otherwise restricted by law.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","PE-06-00"
"DCF-366","Physical Access Control Mechanism Periodic Data Review","Data collected from video cameras and/or access control mechanisms are reviewed and correlated with other entries (e.g., access logs) on a periodic basis.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","PE-06-00, PE-06-01"
"DCF-364","Physical Access Control to Sensitive Areas","Montage Marketing Group uses either video cameras or access control mechanisms (or both) to monitor individual physical access to points of entry, exits, and sensitive areas. Review collected data and correlate with other entries. Store for at least three months, unless otherwise restricted by law.","Are either video cameras or access control mechanisms (or both) in place to monitor individual physical access to sensitive areas?
Note: “Sensitive areas” refers to any data center, server room, or any area that houses systems that store, process, or transmit cardholder sensitive data (e.g., cardholder data, PHI, CUI, etc.).","1. Mechanism(s) in place to monitor physical access to sensitive areas.
2. Review monitoring data in conjunction with related logs.
3. Store monitoring logs for at least three months, or as required by law.","Jon Brown",,"No approvals assigned","Not ready","In scope","PE-06-01, PE-16-00"
"DCF-147","Physical Access to Facilities is Protected","Montage Marketing Group has security policies that have been approved by management and detail how physical access to the company's headquarters is maintained. These policies are accessible to all employees and contractors.","Does the organization identify, authorize and monitor visitors before allowing access to the facility (other than areas designated as publicly accessible)?","1. Company maintains a physical security policy
2. A card-based physical access control system is in place within the perimeter of facilities and at the entry and exit points of sensitive areas within these facilities, including areas containing backup media
3. Visitors must be signed in by an authorized workforce member before a visitor badge that identifies them as an authorized visitor can be issued.","Jon Brown",,"No approvals assigned","Not ready","In scope","PE-02-00, PE-03-00, PE-04-00, PE-06-01, PE-08-00"
"DCF-94","Physical Security Policy","Montage Marketing Group has a documented policy that outlines requirements for physical security.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","PE-01-00, PE-04-00, PE-06-00, PE-06-01, PE-08-00, PE-09-00, PE-10-00, PE-11-00, PE-12-00, PE-13-00, PE-13-01, PE-14-00, PE-15-00"
"DCF-605","PIV Credentials Acceptance","Montage Marketing Group accepts and electronically verifies Personal Identity Verification-compliant credentials.","Does the organization accept and verify Personal Identity Verification-compliant credentials?","Maintain a process to accept and electronically-verify PIV-compliant credentials.","Jon Brown",,"No approvals assigned","Ready","In scope","IA-02-12, IA-08-01"
"DCF-434","Policies and Procedures for Logging","Montage Marketing Group has documented policies and procedures for logging and log monitoring that describe the events the organization must log and monitor, the general systems and system components that should be monitored, the specific information that must be captured in logs, the configuration of specific elements of the logging infrastructure, etc.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","CP-02-01, PE-06-00"
"DCF-440","Policy for Audit Log Retention","Montage Marketing Group has audit log retention policies and procedures in place.","Are audit log retention policies and procedures in place and do they require that logs are retained for at least one year, with a minimum of three months immediately available for analysis (for example, online, archived, or restorable from backup)?",,"Jon Brown","Jon Brown","Approved","Not ready","In scope","AU-11-00"
"DCF-447","Policy for Network Access Monitoring Documented and Accessible","Montage Marketing Group has security policies and operational procedures for monitoring all access to network resources and cardholder data that are documented, in use, and known to all affected parties.","Are security policies and operational procedures for monitoring all access to network resources and cardholder data:
Documented
In use
Known to all affected parties?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","CA-07-04"
"DCF-481","Policy for Security Monitoring and Testing Documented and Accessible","Montage Marketing Group has security policies and operational procedures for security monitoring and testing that are documented, in use, and known to all affected parties.","Are security policies and operational procedures for security monitoring and testing:
Documented
In use
Known to all affected parties?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","AC-02-04, CA-07-04"
"DCF-224","Prevention of Private IP Information Disclosure","Montage Marketing Group private IP addresses and routing information are not disclosed to unauthorized parties.","Are methods in place to prevent the disclosure of private IP addresses and routing information to the Internet?
Note: Methods to obscure IP addressing may include, but are not limited to:
Network Address Translation (NAT)
Placing servers containing cardholder data behind proxy servers/firewalls, 
Removal or filtering of route advertisements for private networks that employ registered addressing,
Internal use of RFC1918 address space instead of registered addresses.",,"Jon Brown",,"No approvals assigned","Not ready","In scope","SC-07-08"
"DCF-598","Previous Baseline Configuration Versions Retained","Montage Marketing Group retains previous versions of system and component configuration to support rollback.","Are previous system and component configuration data and documentation retained for rollback?","1. Define the number of versions to be retained.
2. Retain versions in support of rollback","Jon Brown",,"No approvals assigned","Not ready","In scope","CM-02-03"
"DCF-629","Privacy Act Statements","Montage Marketing Group makes Privacy Act statements available on forms that collect information maintained in a privacy act system of records, or on separate forms that individuals can retain.","Does the organization provide Privacy Act Statements?","Make Privacy Act statements available on:
1. Forms that collect information that will be maintained in a Privacy Act system of records; or,
2. Separate forms that can be retained by individuals.","Jon Brown",,"No approvals assigned","Not ready","In scope","PT-05-02, PT-06-00, PT-06-01, PT-06-02"
"DCF-115","Privacy Policy Inclusions","Montage Marketing Group's Privacy Policy includes:
-Purpose for collecting personal information
-Choice and consent
-Types of personal information collected
-Methods of collection (for example, use of cookies or other tracking techniques)
-Use, retention, and disposal
-Access
-Disclosure to third parties
-Security for privacy
-Quality, including data subjects' responsibilities for quality
-Monitoring and enforcement","Does the organization include purpose of collecting personal information, choice and consent, and types of information collected in its privacy policy?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","AC-03-14, PT-03-00, PT-04-00, PT-05-00"
"DCF-114","Privacy Policy Publicly Available","Montage Marketing Group communicates its Privacy Policy on its public-facing website.","Does the organization communicate its privacy policy on its public-facing website?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","PM-20-00, PM-20-01"
"DCF-623","Privacy Program Plan","Montage Marketing Group has an established organization-wide privacy program plan.","Does the organization have an established organization-wide privacy program plan?","1. Develop an organization-wide privacy program plan that provides an overview of the company's privacy program.
2. The plan should include: (a) a description of the program structure and its dedicated resources; (b) an overview of the program's requirements; (c) a descriptions of the program's management and common controls; (d) roles and responsibilities of privacy officials; (e) a description of management commitment, compliance, and strategic objectives of the program.
3. The plan must be approved by a senior official with responsibility and accountability for the company's privacy risk.
4. Update the plan at defined intervals.","Jon Brown",,"No approvals assigned","Not ready","In scope","PM-18-00"
